Geneid	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614340_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614342_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614343_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614345_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614347_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614348_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614350_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614351_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614353_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614355_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614356_trimmed.fq.gz	/home/data/t0202016/database/Mus106/Hisat2/Hisat2.1/SRR15614357_trimmed.fq.gz
ENSMUSG00000102628	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100595	0	22	3	2	1	0	3	0	0	0	0	0
ENSMUSG00000097426	0	0	0	0	46	0	111	12	0	0	0	0
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	0	1	0	0	1	0	1	0	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102095	0	15	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	1234	2720	1656	2451	867	377	1198	276	933	568	639	344
ENSMUSG00000098201	0	0	0	17	0	0	101	11	0	0	0	0
ENSMUSG00000103509	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048538	25	17	16	15	24	4	5	19	3	2	2	0
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026312	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039748	0	0	0	0	0	0	0	0	28	0	0	0
ENSMUSG00000118715	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104158	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103540	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057363	215	707	256	256	534	591	569	189	484	249	444	99
ENSMUSG00000047216	0	0	20	0	0	0	0	0	0	0	0	0
ENSMUSG00000102788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102160	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101846	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090243	0	0	62	21	0	0	0	9	0	0	0	49
ENSMUSG00000100701	0	2	0	1	2	0	0	0	3	2	0	2
ENSMUSG00000100555	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101395	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	7	31	0	0	6	40	0	0	46	46	0	47
ENSMUSG00000101875	0	0	0	0	0	2	0	0	0	0	1	5
ENSMUSG00000099732	0	0	1	0	0	0	0	1	1	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	693	932	586	1127	847	674	935	470	904	499	689	470
ENSMUSG00000055214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078184	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102605	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	8	27	234	273	0	0	0	0	0	0	0	0
ENSMUSG00000025909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101154	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065865	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	94	231	144	84	142	120	172	0	118	4	145	38
ENSMUSG00002076328	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	8	21	25	50	15	9	26	14	40	11	3	4
